Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
13,0.11099211,-0.06890104,0.07900253,0.045688324,-0.012697828,-0.19305547,-0.06461855,0.075004674,0.02260198,0.08019938,0.15308861,-0.18364125,0.030010445,-0.09761509,-0.07792328,-0.13656396,-0.051351245,0.14310189,-0.12495838,-0.02203337,0.2053027,0.13856581,0.14940104,0.14264861,-0.032632843,0.062319238,-0.11485418,0.03362318,0.06888903,-0.033274613,-0.2742568,0.085201696,0.008507217,0.009676516,-0.061251525,-0.02702269,0.25767732,0.12665847,0.25750124,0.03598535,-0.056827612,0.050461482,-0.055396732,-0.051043894,-0.009320442,0.077893816,-0.04703414,-0.029925019,-0.013493103,0.11796764,-0.091082305,0.010337503,0.10751325,0.11031389,0.079997055,0.10097366,0.08897463,-0.15603879,-0.14128046,0.05652211,0.16395502,-0.050747924,0.0910027,0.003919218,0.15230353,-0.1689573,0.06630061,-0.013273242,0.1159823,-0.057958744,0.025768314,0.11714282,-0.11623508,-0.030879155,-0.118621215,-0.12632495,-0.02541955,0.20206672,-0.055195957,0.25220352,-0.09891487,-0.03370628,0.03536387,0.07960204,0.041431647,0.15532286,0.16752455,-0.05125482,0.07601851,0.2273217,-0.0247469,-0.06424784,-0.15026668,0.022614758,0.15616558,-0.06321538,-0.25906688,-0.2376348,-0.029193727,0.03336167,-0.19637474,-0.020629562,0.01255449,0.012518322,-0.07429532,-0.103092805,-0.009216117,-0.10919334,-0.04653232,-0.06408741,-0.023249008,-0.14686817,0.070204824,0.103563726,-0.10433765,-0.02371857,-0.08846427,0.21891238,0.028735546,0.11028477,-0.089762874,-0.1354219,-0.06891157,0.034513053,0.010056384,-0.11502885,-0.14324717,0.11368946
17,0.10713622,-0.083083,0.067534715,0.039678875,-0.013671033,-0.18208759,-0.06484623,0.063724674,0.008760871,0.09509089,0.16233948,-0.18586686,0.014040992,-0.093768455,-0.09426837,-0.14294052,-0.055458255,0.14555943,-0.10827713,-0.05292593,0.20789121,0.14485916,0.15203543,0.13896576,-0.03318654,0.059345055,-0.10920472,0.03697621,0.067863666,-0.021534791,-0.2666874,0.0739351,-0.0039004919,0.03187298,-0.07462244,-0.03974056,0.25906646,0.12016572,0.27146268,0.028067177,-0.030913671,0.037326347,-0.052337814,-0.057481326,-0.024431733,0.06623071,-0.0430929,-0.042456187,-0.026775034,0.08038467,-0.08062368,-0.04170342,0.08379831,0.12324119,0.09385731,0.06664624,0.079308406,-0.19643433,-0.15188783,0.05211861,0.19360861,-0.06343256,0.092019625,-0.0025071765,0.13751419,-0.17646137,0.036188003,0.004822034,0.10654745,-0.08395359,0.02409181,0.11341896,-0.12153654,-0.021687603,-0.14076242,-0.12704118,-0.034615275,0.19177876,-0.056708716,0.24695757,-0.12058211,-0.017967604,0.016150326,0.061961886,0.04111295,0.14860046,0.17473707,-0.05287158,0.096074864,0.24133615,-0.018279571,-0.06014642,-0.15632857,0.01540709,0.17232214,-0.079795964,-0.2485657,-0.23096226,-0.044750504,0.06467944,-0.16812038,-0.009825073,0.009553071,-0.016292414,-0.09392529,-0.102889776,-0.027392125,-0.09184751,-0.037623614,-0.058771744,-0.029123835,-0.15885416,0.08480443,0.10479382,-0.09620695,0.013665416,-0.08665477,0.24424602,0.03265261,0.078385785,-0.09675004,-0.12221991,-0.09330917,0.059467636,-0.0036650335,-0.13425553,-0.15177086,0.11801819
16,0.1135608,-0.10294789,0.05894813,0.037834905,-0.017307583,-0.18976377,-0.06759071,0.06534397,-0.013570481,0.09951934,0.16974159,-0.19913292,-0.011732403,-0.0764192,-0.08884207,-0.1544408,-0.05561792,0.1500156,-0.12358717,-0.06190266,0.23073754,0.15110038,0.15641046,0.1618511,-0.02886109,0.05519631,-0.117656894,0.035354193,0.06212166,-0.035581883,-0.2870429,0.061610453,0.015137656,0.031374086,-0.08104139,-0.04140534,0.27688515,0.116762705,0.28551912,0.039438423,-0.035726085,0.03634803,-0.054206096,-0.057156153,-0.039186336,0.06603794,-0.046014804,-0.03677704,-0.015118114,0.08251268,-0.09483064,-0.043493353,0.09717299,0.12595761,0.10397254,0.08080317,0.08155702,-0.22335279,-0.15667015,0.0725986,0.21980025,-0.0648606,0.088222,0.0054676225,0.14157769,-0.17973757,0.04111304,0.01033435,0.09983427,-0.09241881,0.040802054,0.11603028,-0.1255421,-0.035837457,-0.1443634,-0.13285658,-0.052030474,0.19558522,-0.055102676,0.2600559,-0.11943944,-0.027785718,0.017915543,0.07312437,0.03076718,0.15696174,0.18262494,-0.057408404,0.102689326,0.25237465,-0.011984505,-0.058198065,-0.16149792,0.019277237,0.19309258,-0.0784637,-0.28444925,-0.25282976,-0.063179865,0.07143515,-0.17484833,-0.0029030126,0.009315156,-0.014317812,-0.09547152,-0.10326087,-0.018556219,-0.099863656,-0.036448333,-0.071712054,-0.035621464,-0.17145629,0.095775634,0.10438852,-0.097273186,0.013933273,-0.09849402,0.26719645,0.035087675,0.07778303,-0.105688035,-0.12517521,-0.10931137,0.07317193,-0.0069908868,-0.1335844,-0.15641546,0.13035296
12,0.09929715,-0.120350495,0.044237927,0.059216924,-0.024353128,-0.1737227,-0.065943904,0.0466269,-0.038850226,0.09532931,0.17343691,-0.20532928,-0.030311499,-0.07498218,-0.10141526,-0.15751435,-0.05265156,0.14417854,-0.11093216,-0.09699392,0.22347243,0.16601728,0.15407823,0.16679044,-0.026671283,0.057023928,-0.10694536,0.03925989,0.032783136,-0.029918326,-0.2738967,0.037470087,0.009762921,0.05076811,-0.08584464,-0.0574046,0.26617125,0.084659286,0.2871645,0.033260364,-0.028141582,0.018947981,-0.054926176,-0.049840894,-0.059086036,0.041840658,-0.040587816,-0.029101733,-0.024672238,0.046341944,-0.0812567,-0.10004931,0.073581174,0.1413445,0.106980324,0.03579653,0.06724334,-0.2670336,-0.1781463,0.090016834,0.24052532,-0.07356351,0.09391483,-0.009558335,0.113967754,-0.18143514,0.00667736,0.034720197,0.09702095,-0.1103427,0.048091017,0.10188467,-0.13619442,-0.038606923,-0.15712096,-0.1244945,-0.05529348,0.16748734,-0.05752231,0.23429067,-0.14105399,-0.007345233,0.016975345,0.06459651,0.011847671,0.14884764,0.17541392,-0.049331326,0.1077539,0.25715584,0.009288138,-0.04495661,-0.15657869,0.0226704,0.2239091,-0.0907188,-0.27459708,-0.23537692,-0.073556855,0.09829939,-0.14375848,-0.011644683,0.007015547,-0.030097818,-0.10702925,-0.10845572,-0.026102899,-0.066470645,-0.024275368,-0.07518398,-0.0350048,-0.19538587,0.11472237,0.11406102,-0.083074726,0.048907496,-0.091718316,0.27913162,0.029355735,0.038039766,-0.10914598,-0.110348366,-0.11931484,0.090631045,-0.008926169,-0.15426303,-0.16143362,0.13804345
10,0.109331794,-0.08652921,0.07101342,0.032084547,-0.016470414,-0.19768122,-0.07530117,0.07037437,0.00784909,0.08486562,0.16050093,-0.18513225,0.014692843,-0.09807164,-0.0728348,-0.15478288,-0.05328639,0.15212476,-0.118180946,-0.037968926,0.20568286,0.13179547,0.15040965,0.15956615,-0.029024849,0.0692371,-0.10914368,0.029527826,0.080581576,-0.039783183,-0.2841186,0.08055342,0.0054380763,0.01528168,-0.06754207,-0.025457373,0.2615252,0.1310971,0.26920256,0.03203886,-0.043243617,0.053228922,-0.0610316,-0.04641358,-0.0073135626,0.06782684,-0.0509279,-0.04139892,-0.0062793028,0.10884572,-0.0867009,-0.012756975,0.11324906,0.12145949,0.08254388,0.10474612,0.07601893,-0.17896469,-0.14483435,0.06566899,0.18796839,-0.0471841,0.0932374,0.014998277,0.14730848,-0.17051408,0.0593919,-0.01173096,0.12191786,-0.076986566,0.03214862,0.10462814,-0.11956366,-0.03877265,-0.13216698,-0.120727,-0.038962767,0.2076172,-0.048194755,0.26937497,-0.114356026,-0.0376841,0.039780222,0.077233896,0.038064662,0.14749335,0.17193578,-0.05670323,0.08994343,0.22737187,-0.026056008,-0.062518544,-0.1560649,0.024555309,0.16634092,-0.067955606,-0.26783103,-0.24111894,-0.033350654,0.042013116,-0.19163215,-0.011694444,0.0049103517,0.004848741,-0.076596744,-0.09537666,-0.011482415,-0.12009134,-0.043682452,-0.06440873,-0.019481476,-0.15061104,0.08369997,0.10649704,-0.10992503,-0.022739328,-0.09791783,0.22624163,0.040231667,0.113041066,-0.09667802,-0.13293692,-0.088775255,0.05114963,-0.0025389637,-0.13120575,-0.14926721,0.10867908
4,0.15651962,-0.06300982,0.1394229,-0.029612575,-0.029476706,-0.17242539,-0.10890775,0.08114268,0.031172486,0.042841747,0.08834933,-0.1766354,0.007606359,-0.023129903,-0.058833178,-0.17439938,-0.08721801,0.1243441,-0.13491999,-0.04041277,0.20352255,0.058026955,0.14398207,0.121772215,-0.03587054,0.060893387,-0.113221444,0.029569646,0.0883933,-0.026147516,-0.23540723,0.12631838,0.007408145,0.008286791,-0.021139424,-0.06558749,0.21274546,0.1661591,0.18904644,0.07654155,-0.04717141,0.06411441,-0.06855102,-0.0124179805,0.0012534624,0.06642841,-0.018480679,-0.03884775,0.004531306,0.12430705,-0.13873698,0.037479725,0.07638729,0.09327417,0.06169225,0.16666195,0.06042056,-0.098341666,-0.12052485,0.068122596,0.16691561,-0.030249672,0.08696328,0.05339625,0.168057,-0.14744925,0.05195765,-0.08794495,0.12469284,-0.08182748,-0.00892366,0.099335,-0.093009114,-0.07085284,-0.08032315,-0.12862593,-0.015016432,0.20813446,-0.065761805,0.20402457,-0.08046931,-0.034638677,0.07116248,0.016810965,0.041305598,0.14369482,0.1175581,-0.045493104,0.03011324,0.20777251,-0.08203353,-0.044190414,-0.14944087,0.028145015,0.08125983,-0.04393951,-0.23099734,-0.22189236,-0.048003748,0.036587417,-0.19272137,-0.0012934166,0.014203034,0.0220544,-0.08671893,-0.07700566,-0.048163116,-0.15550566,-0.033448078,-0.027867734,-0.06101774,-0.13611157,0.07554996,0.08203131,-0.137036,0.0016347589,-0.12043373,0.17282917,0.055086095,0.13086018,-0.07473579,-0.15466022,-0.07755411,0.058584094,-0.004829934,-0.05934435,-0.14785698,0.08991052
11,0.104939125,-0.091353394,0.066344306,0.041262258,-0.00864782,-0.18116882,-0.06869889,0.062369116,0.011632449,0.08259828,0.15932846,-0.19312724,0.002731875,-0.0906879,-0.09439328,-0.13728684,-0.05249776,0.13666025,-0.11108258,-0.037618957,0.21405628,0.13997155,0.1501557,0.14378452,-0.03875216,0.06707054,-0.11099211,0.031913154,0.061249744,-0.033659432,-0.2648612,0.06465363,-0.0039715813,0.03306593,-0.06538084,-0.02621929,0.2597957,0.11632452,0.2722172,0.02951846,-0.045697667,0.040675838,-0.05003342,-0.05685573,-0.015492706,0.059555735,-0.033587094,-0.03534054,-0.025917081,0.085294716,-0.08810293,-0.03233087,0.09442876,0.12562111,0.093885526,0.07119391,0.086746246,-0.1890214,-0.15045449,0.051191,0.1885436,-0.066132545,0.096077785,-0.003540747,0.13940601,-0.16023625,0.04667293,0.0072399443,0.10299497,-0.06913959,0.03491802,0.10008738,-0.12131196,-0.02360134,-0.1325763,-0.123684146,-0.038287632,0.18632384,-0.05087139,0.24789575,-0.11586661,-0.029259812,0.024082502,0.07004,0.03304843,0.14476421,0.17082526,-0.0517407,0.09183483,0.23376589,-0.008412468,-0.0631346,-0.15581453,0.014897921,0.17994466,-0.07629453,-0.26366198,-0.23047115,-0.049251545,0.06006142,-0.17827587,-0.010016178,-0.0027693347,-0.004732201,-0.07704015,-0.094558604,-0.023589654,-0.10249743,-0.043937027,-0.0704287,-0.034665413,-0.15863518,0.08340147,0.094431676,-0.087632455,0.0021830057,-0.08429966,0.23778191,0.032588795,0.078612044,-0.09525264,-0.1189251,-0.09416439,0.059064355,0.002090656,-0.12883626,-0.14011985,0.12487871
7,0.14476556,0.07635807,0.19306844,-0.02479396,0.037707586,-0.24058358,-0.10253648,0.13726997,0.20780198,0.022272449,0.074408375,-0.10553012,0.21416636,-0.18046035,0.0026482106,-0.085050054,-0.06766188,0.122168235,-0.14647229,0.21355172,0.13056876,0.023318268,0.11273993,0.04993506,-0.072726056,0.09927719,-0.13935575,0.009389543,0.179828,-0.030161457,-0.23693627,0.21926871,-0.035379346,-0.07240624,0.042034574,0.05609409,0.19363809,0.24588859,0.15572973,0.07931038,-0.10476243,0.12990892,-0.023513217,-0.02006509,0.12054579,0.17415147,-0.020770412,-0.058251686,0.01119595,0.2609951,-0.082823336,0.29395378,0.19158104,0.02869393,-0.01834987,0.29652336,0.12686561,0.1841388,-0.031707183,-0.058629867,-0.046446398,-0.0009608179,0.09789677,0.06663837,0.26030824,-0.12673676,0.24113314,-0.16052791,0.18267623,0.07161272,-0.06290881,0.09891309,-0.06531465,-0.00987451,-0.0052861953,-0.13187142,0.050889216,0.25869074,-0.031711098,0.2930974,0.02378985,-0.1167238,0.09999069,0.10057505,0.13184038,0.16838947,0.09535228,-0.019621836,-0.021545114,0.10593913,-0.12822127,-0.098031335,-0.12972541,0.04152607,-0.07221352,-0.0034357186,-0.1810968,-0.21391755,0.10354729,-0.1701112,-0.32390982,-0.05654047,0.036394615,0.121076405,-0.0057961936,-0.067507595,0.035833016,-0.26244113,-0.08833203,-0.020405406,0.0043205004,0.014385671,-0.033664554,0.04228656,-0.15320061,-0.23003013,-0.101195596,0.006124707,0.041222975,0.28225315,-0.04930972,-0.18506601,0.063870385,-0.09431688,0.028003154,-0.008953258,-0.06490507,0.016450832
8,0.14763173,0.091581106,0.19934332,0.0005300675,0.07005207,-0.2705624,-0.10114549,0.14887325,0.26230112,0.045442067,0.10170033,-0.121279076,0.2772905,-0.240715,-0.00051477127,-0.074505106,-0.06614272,0.14239791,-0.17037268,0.27369392,0.13347028,0.051090524,0.1148156,0.060213074,-0.097942404,0.110122025,-0.16452631,0.008018755,0.19291787,-0.029587388,-0.26944664,0.2413643,-0.04527696,-0.082645714,0.041640233,0.08456517,0.22007486,0.26473737,0.20369402,0.08378588,-0.13576132,0.14526512,-0.021955067,-0.040769685,0.13806368,0.20270263,-0.020366965,-0.057296373,0.0031201316,0.31151134,-0.067775615,0.352433,0.23969087,0.014425758,-0.031167842,0.3306785,0.16461612,0.21939175,-0.03467759,-0.06771432,-0.07609071,0.0011489523,0.1087421,0.07177116,0.30851182,-0.15835832,0.29571298,-0.16743936,0.21677405,0.11362987,-0.06706086,0.13109863,-0.07429802,0.010005141,-0.006461866,-0.16543534,0.072228484,0.31190625,-0.031463742,0.36699352,0.034276832,-0.14202128,0.099879846,0.13931176,0.1535723,0.20153992,0.12353529,-0.020858215,-0.021697987,0.12058042,-0.118626736,-0.12534171,-0.15675586,0.037355717,-0.07042374,-0.019285047,-0.22048189,-0.26782718,0.12596221,-0.21810095,-0.37442446,-0.09193315,0.029039225,0.14268452,-0.0039343876,-0.08315659,0.04899147,-0.29118362,-0.095238015,-0.02103733,0.023458164,0.026199978,-0.04013044,0.059981856,-0.1846276,-0.29482672,-0.12358721,0.005824687,0.034809723,0.33330068,-0.05940291,-0.2063947,0.09224516,-0.11705361,0.0456861,-0.005846257,-0.066217445,0.023461848
14,0.123256065,-0.046814024,0.09018989,0.025799613,-0.00032511092,-0.19992566,-0.0774952,0.08059521,0.052516904,0.076081604,0.14676961,-0.17764327,0.05365149,-0.10787901,-0.056041114,-0.12735511,-0.06200446,0.14361778,-0.12724169,0.024500508,0.19670655,0.12309349,0.14368448,0.13826354,-0.045362074,0.07830451,-0.12040826,0.023941856,0.09020247,-0.025463369,-0.27577212,0.10305214,0.0029183496,0.0015097555,-0.0515669,-0.01803156,0.25782314,0.15840335,0.25213933,0.04035404,-0.065801255,0.06524659,-0.04101011,-0.048829947,0.005735362,0.091278255,-0.044192676,-0.042383146,-0.009218078,0.13219528,-0.08158926,0.043913558,0.12924695,0.10481301,0.06398248,0.14337261,0.10106559,-0.10876861,-0.12850381,0.030313414,0.13257441,-0.047536746,0.089588426,0.009879159,0.17629196,-0.16272518,0.09983562,-0.041800845,0.12529887,-0.041749723,0.013041482,0.11485269,-0.10961813,-0.020206176,-0.11362766,-0.12185726,-0.021215223,0.22183527,-0.055764943,0.27281812,-0.08161269,-0.050766483,0.037760545,0.07607735,0.051413357,0.15162157,0.1584632,-0.04741532,0.063900486,0.21335693,-0.04582534,-0.071634606,-0.15930794,0.018136088,0.12694332,-0.06155042,-0.25843328,-0.23220608,-0.0069014,-0.0044228486,-0.21771023,-0.031052724,0.0149797825,0.024638759,-0.07057718,-0.091810994,0.00433214,-0.13704218,-0.061665524,-0.062205262,-0.01258616,-0.11846263,0.05568452,0.09097031,-0.10856814,-0.060469788,-0.10538127,0.18878457,0.03878617,0.14232126,-0.08545481,-0.14637695,-0.05692598,0.02160196,0.0096475165,-0.110265605,-0.1369794,0.09869392
