Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
9,-0.08929074,-0.0854685,0.18017323,-0.037333924,-0.0671907,-0.17570476,0.044836767,0.05604554,-0.047823433,0.03937167,0.38773906,0.044332385,-0.15344001,-0.0101477625,-0.21497284,-0.08732522,0.0039600017,0.112476,-0.047927078,-0.032001205,0.17566185,0.047920037,0.17813988,-0.0219291,-0.042867772,0.1167033,-0.16459455,0.06799062,-0.04925076,-0.09536879,-0.20621395,-0.005326434,-0.06539826,0.039490778,0.018612435,0.042755388,0.30259815,-0.0014860407,0.28304136,-0.12157401,-0.002040061,0.22506972,-0.13506553,-0.19888861,0.11706138,0.010486652,-0.014273863,-0.052672636,-0.026184551,0.011166014,0.068079606,-0.043466963,-0.042380683,0.09009299,0.29344282,-0.078585766,0.141591,-0.22659324,-0.03557481,0.021020584,0.15716761,-0.17698006,0.011011676,0.006557993,-0.003721312,0.011898112,0.101859905,0.21283756,0.0064202286,-0.018409459,0.05808233,0.013389435,-0.037313517,-0.14068034,-0.08627355,0.031241192,0.17519084,0.08244187,-0.027355498,0.08459571,-0.12275935,0.041141056,0.06573196,0.14990613,-0.042483572,-0.005843989,0.2470091,-0.117445186,0.09980452,0.24798493,-0.02934261,-0.104209535,-0.19835816,-0.1421075,0.28689483,-0.11158277,-0.29782745,-0.23730403,0.06551895,0.13256945,-0.22629167,0.12985888,0.07660731,0.014284311,0.15257451,0.018434875,-0.058284,-0.08708706,-0.008842075,-0.21381049,0.0061967713,-0.069438115,-0.05212572,-0.04148501,0.07530762,0.1328703,0.0385079,0.2221531,0.02153126,0.009384565,-0.0358825,0.028054945,0.0010869156,-0.05160051,-0.041142885,-0.09483983,-0.16134982,0.057854317
7,-0.0890838,-0.06588109,0.17554191,-0.044778455,-0.051070403,-0.16590899,0.015466308,0.0495336,-0.01474911,0.043988474,0.35111648,0.044970397,-0.09852217,-0.037523437,-0.19176179,-0.08227544,-0.005913067,0.10853937,-0.04017351,0.014765048,0.14013654,0.030805,0.12662995,-0.039388776,-0.07030217,0.1006022,-0.18078917,0.03735931,-0.043697745,-0.07086085,-0.1770607,0.014173712,-0.09104986,0.039798338,0.06519864,0.05983998,0.2565612,0.010544451,0.24912666,-0.08608824,0.003933558,0.20582972,-0.09900926,-0.1576181,0.11569292,0.018561402,-0.00094809534,-0.059125755,-0.025449263,0.016796803,0.08342943,-0.011793261,-0.021462737,0.057396784,0.25471583,-0.045366444,0.1194397,-0.15085696,-0.019903474,0.010535254,0.12492007,-0.1698753,0.016323335,0.01856801,0.021010138,0.0005611107,0.10770946,0.1776424,0.029223297,-0.017043332,0.02840526,-0.013351518,-0.04181699,-0.12570287,-0.06822559,-0.003264039,0.1702619,0.06708609,-0.008312549,0.10482985,-0.09829959,0.01603725,0.07310266,0.1591828,-0.017768163,0.004916468,0.22031496,-0.077674,0.09357169,0.20646687,-0.027107572,-0.08926714,-0.19735208,-0.109011054,0.24014622,-0.101811565,-0.26584026,-0.21340181,0.06284331,0.08325814,-0.22163817,0.093878664,0.07294208,0.017606098,0.11944924,0.030329892,-0.04549355,-0.107178144,-0.0107729295,-0.1891304,0.012684851,-0.039233275,-0.034506217,-0.047296092,0.042488202,0.08873665,0.017148439,0.17590488,0.014528401,0.026668424,-0.04127605,0.029003438,0.008357673,-0.0521278,-0.046698697,-0.07153634,-0.11857643,0.04749376
11,-0.088259384,-0.070141256,0.1613134,-0.044571944,-0.04405953,-0.1616431,0.011315924,0.0488067,-0.020008532,0.04542869,0.34113613,0.042306893,-0.10247883,-0.030864662,-0.17787303,-0.077596664,-0.0035486694,0.10040428,-0.05034202,0.028090663,0.14050828,0.02703728,0.11226967,-0.03319288,-0.072509795,0.09065504,-0.18647946,0.028013868,-0.051456407,-0.07668563,-0.17451246,0.0037338648,-0.07981441,0.036646854,0.07215881,0.068665184,0.2488202,0.0020513427,0.24122952,-0.06889554,-0.0015528341,0.19668052,-0.087554984,-0.14957492,0.102037475,0.019694682,0.0033992946,-0.050877243,-0.016585361,0.017006323,0.08111081,0.0015465833,-0.006129999,0.044675123,0.24796307,-0.029542131,0.11946569,-0.14234006,-0.011731547,0.019284066,0.121556625,-0.16595902,0.009297231,0.025519157,0.024676716,0.006388615,0.11961195,0.17689656,0.019198097,-0.012187568,0.03522845,-0.019190012,-0.038553905,-0.12842008,-0.057376027,-0.010902491,0.15760408,0.056149103,0.00060465164,0.1080791,-0.08077329,0.00095536956,0.07169516,0.16971871,-0.022899946,0.009204107,0.21117575,-0.066919096,0.090547115,0.19151253,-0.015661698,-0.08338362,-0.18900873,-0.10089218,0.23590937,-0.095152706,-0.2734595,-0.21328084,0.05190159,0.06934484,-0.21595068,0.0897919,0.0712349,0.023327835,0.1207391,0.034731112,-0.030428557,-0.11101814,-0.007426166,-0.19148646,0.010124816,-0.030802306,-0.028817609,-0.05533916,0.043661192,0.07359578,0.00783871,0.17147271,0.011968653,0.026132865,-0.04381809,0.03225779,0.007764413,-0.047593895,-0.046830744,-0.055979464,-0.100923955,0.049918085
2,-0.10002013,-0.047724515,0.18235756,-0.042328447,-0.0387388,-0.17590433,-0.060083743,0.052446745,0.03244128,0.036447026,0.31871724,0.034709457,-0.01361838,-0.08392509,-0.15532182,-0.092902005,-0.028876353,0.09933821,-0.0684663,0.10454891,0.091440886,-0.0020491004,0.028471556,-0.054340094,-0.13195278,0.07862081,-0.24348114,-0.028398952,-0.07687894,-0.045766745,-0.154597,0.034144267,-0.12550184,0.02928607,0.18917562,0.10848356,0.18829767,0.005345547,0.1958925,-0.002921646,-0.024361234,0.18914896,-0.046712052,-0.07132298,0.10691854,0.018674579,0.023996467,-0.043031838,-0.0005396904,0.04426257,0.11328928,0.06452957,0.035813075,-0.008164834,0.19966243,0.038393684,0.09519113,-0.018755378,-0.0024415671,0.042010292,0.06316725,-0.16626409,0.020964414,0.038519263,0.074529864,-0.0022673283,0.15010794,0.13176508,0.07581784,-0.012217965,-0.006148953,-0.08268811,-0.06419845,-0.1482602,-0.015354712,-0.08004339,0.1821241,0.019856684,0.0423052,0.14169277,-0.046412364,-0.053493626,0.13276061,0.22930302,-0.007343123,0.03340922,0.17533493,0.012458738,0.07053754,0.12962157,0.00060674036,-0.04826134,-0.1967994,-0.030795278,0.19681211,-0.08064862,-0.27148932,-0.19900303,0.057459917,-0.024394004,-0.2543837,0.015144107,0.076314494,0.058445025,0.08546437,0.049456563,0.0030815355,-0.16467345,-0.017418709,-0.1821672,0.029125497,-0.00033151527,0.008353597,-0.05142191,-0.013785369,-0.00068424165,-0.03906596,0.098779306,-0.0026443347,0.067592606,-0.056983016,0.022753678,0.045853697,-0.06632667,-0.050084997,-0.015857093,-0.03462176,0.03967982
8,-0.09008838,-0.0755235,0.15941471,-0.04562825,-0.053774007,-0.16060814,0.012475477,0.0450892,-0.029242788,0.03777117,0.3408061,0.045076083,-0.11147851,-0.03181932,-0.17769235,-0.08623883,-0.0032986174,0.10380948,-0.041169398,0.0031405874,0.13379428,0.023484925,0.124056906,-0.021576485,-0.059380006,0.10208187,-0.16592251,0.03383806,-0.04185283,-0.07982,-0.1782533,0.0028199332,-0.078877136,0.03403683,0.05812553,0.06216586,0.24567354,0.0017522137,0.24039514,-0.08680899,0.0025280798,0.20138805,-0.10518887,-0.14918047,0.11189288,0.0070630535,-0.005840905,-0.055242628,-0.014358045,0.014359843,0.08302138,-0.020312024,-0.013779632,0.059482116,0.24340373,-0.03972645,0.11141902,-0.16080007,-0.019561892,0.024146436,0.12712386,-0.15506475,0.012944844,0.02398603,0.009076021,0.009749444,0.10648619,0.17643437,0.026888875,-0.020355713,0.039652262,-0.02068662,-0.038877632,-0.13232908,-0.06734299,0.008714826,0.15668195,0.063418575,-0.000931102,0.10209002,-0.09816073,0.011096803,0.079215065,0.15713842,-0.02910148,-0.004026907,0.20946282,-0.07897135,0.092202395,0.19166532,-0.020526858,-0.08283707,-0.18288095,-0.10405771,0.24082848,-0.09678228,-0.26508683,-0.20605594,0.061628703,0.08123952,-0.21025401,0.09671928,0.06392093,0.021058492,0.12826031,0.03249859,-0.037152797,-0.107164934,-0.008066973,-0.18777348,0.017743764,-0.041098945,-0.030103434,-0.043342452,0.045183912,0.08183492,0.014254065,0.16939148,0.020428209,0.02986759,-0.038942836,0.029510532,0.0036488823,-0.045146175,-0.047594417,-0.0744452,-0.11793422,0.04013035
10,-0.07678892,-0.074008465,0.16418663,-0.047207493,-0.042936146,-0.14364034,0.009073054,0.035995238,-0.025879871,0.03704063,0.3300438,0.031410523,-0.115899965,-0.02415865,-0.18584296,-0.08416036,-0.005750909,0.0893549,-0.049256615,0.0016460924,0.13670327,0.024879212,0.13029692,-0.026184889,-0.06516353,0.10314119,-0.17010447,0.033326376,-0.05295117,-0.07789796,-0.17049532,0.007821539,-0.07917452,0.042325553,0.05905013,0.048827335,0.24752495,0.008461442,0.2353602,-0.07575919,0.002812526,0.18652704,-0.10322967,-0.15101929,0.101716846,0.006614698,0.009257938,-0.053659324,-0.028016608,0.012430338,0.07161269,-0.016272051,-0.020211896,0.057991575,0.2398965,-0.042240947,0.12404904,-0.1603799,-0.0216442,0.021726467,0.1286683,-0.16095652,0.020491246,0.024917962,0.011320278,0.008720098,0.10793585,0.16938542,0.013284495,-0.019411579,0.03564396,-0.012238338,-0.031488325,-0.12375709,-0.064671196,0.0055266735,0.15803654,0.06281309,-0.014119722,0.08668418,-0.09196591,0.01949505,0.06756461,0.14007229,-0.03478735,0.0063008177,0.20223437,-0.07073075,0.08033601,0.2011276,-0.024593512,-0.082026094,-0.18176284,-0.11359061,0.23044935,-0.098792754,-0.26364177,-0.20389047,0.04833716,0.08447318,-0.19707684,0.08909717,0.06283239,0.022176445,0.1280651,0.022990169,-0.046478588,-0.10115347,-0.00035510774,-0.18221457,0.001194805,-0.04280594,-0.023555605,-0.05287184,0.043285985,0.09411981,0.0064044553,0.17421888,0.01721864,0.026339171,-0.031184707,0.025517728,0.0017703224,-0.035209857,-0.04097119,-0.06227288,-0.12114182,0.05466793
1,-0.09275192,-0.06727766,0.17679806,-0.045516096,-0.041638754,-0.16677582,-0.017992256,0.05207533,0.008718276,0.0341147,0.3369658,0.029264066,-0.07946576,-0.04992116,-0.18437777,-0.08376553,-0.01071692,0.099110596,-0.048199683,0.058052853,0.12873726,0.012739318,0.08993,-0.04557237,-0.10091662,0.09651183,-0.20575528,0.0066053187,-0.060276628,-0.0693558,-0.16458195,0.017318739,-0.10919853,0.041305393,0.11781325,0.08993606,0.23714267,0.0128494175,0.23325868,-0.059623197,-0.016274812,0.20206173,-0.07719479,-0.12943721,0.12322926,0.010663045,0.01621668,-0.050375417,-0.020233542,0.030576563,0.082892425,0.017917134,0.005164861,0.039493326,0.24216604,-0.017185343,0.11491797,-0.09690071,-0.013262538,0.016312271,0.099776834,-0.17310035,0.023241436,0.021183446,0.043903325,0.015309001,0.12493862,0.16232328,0.039644167,-0.006521706,0.023093356,-0.04760869,-0.048925884,-0.13113804,-0.0453786,-0.030492002,0.17186722,0.047680233,0.01128558,0.12029121,-0.07950834,-0.01566006,0.09602554,0.18423517,-0.018298578,0.007991998,0.2072147,-0.044878785,0.08486058,0.17535257,-0.009568425,-0.08030168,-0.20116928,-0.0861566,0.23290084,-0.0896776,-0.28023183,-0.20573129,0.052651837,0.04733849,-0.24014457,0.06773995,0.06051856,0.03767538,0.12059033,0.046215072,-0.033163525,-0.13403407,-0.021390116,-0.19511391,0.007880959,-0.02471813,-0.018415922,-0.05811668,0.027263595,0.053887557,0.0012120852,0.14676741,0.009165455,0.041355837,-0.04348875,0.03001173,0.016522013,-0.056769002,-0.04000422,-0.04613014,-0.07468559,0.056559887
5,-0.094521046,-0.046658307,0.1835909,-0.05113194,-0.04697908,-0.17447154,-0.047476586,0.058557156,0.02182942,0.034189265,0.32367817,0.039070938,-0.038406886,-0.07077361,-0.16249825,-0.092461236,-0.023492873,0.103520446,-0.06369021,0.09198657,0.10299849,-0.0057984227,0.05312115,-0.055214714,-0.11841804,0.08415439,-0.23526661,-0.022378765,-0.06233525,-0.054031778,-0.16707265,0.041507322,-0.116866395,0.023085194,0.16984403,0.10422592,0.21061122,0.01997784,0.19816604,-0.024547013,-0.018188715,0.19979621,-0.060164865,-0.09020213,0.11919317,0.018569933,0.009676025,-0.052192826,-0.0049438113,0.049577236,0.10305203,0.057004374,0.028600032,0.0077239396,0.21638295,0.028712315,0.10257581,-0.038358375,0.00025046212,0.027896682,0.06873244,-0.16664578,0.020233802,0.03246846,0.058622655,0.008761663,0.14814544,0.1374328,0.058708705,-0.014926631,-0.0005890132,-0.0685906,-0.05405398,-0.14461316,-0.024959527,-0.055586662,0.18034168,0.030376088,0.030499458,0.1301034,-0.055178043,-0.040950146,0.12405063,0.211891,-0.007965337,0.019644983,0.19100587,-0.0050409837,0.07740484,0.14519328,-0.014378666,-0.05922523,-0.19636667,-0.05120253,0.20142989,-0.07371024,-0.27052322,-0.19553888,0.06508729,-0.0061586774,-0.25358215,0.039668135,0.077675164,0.052552864,0.10664856,0.047706667,-0.0030989344,-0.15755174,-0.02687569,-0.1889616,0.024784753,-0.00089934596,-0.006952554,-0.057193406,0.0014627909,0.014496285,-0.020140192,0.11210129,0.004881537,0.07559339,-0.043560356,0.019704072,0.03887306,-0.074080266,-0.044844683,-0.024650581,-0.0501527,0.04284054
3,-0.09910795,-0.049330723,0.17581284,-0.051120065,-0.032634392,-0.16227853,-0.033495337,0.053426653,0.026858069,0.04893472,0.33383083,0.043033127,-0.048859876,-0.061444774,-0.1773655,-0.08539806,-0.021335525,0.09943047,-0.06443308,0.0784746,0.105201334,-0.0007710431,0.06592482,-0.05107776,-0.11504753,0.086468175,-0.2218102,-0.0042243754,-0.0697112,-0.052995715,-0.15635824,0.026654668,-0.114157096,0.031093284,0.14384341,0.09284558,0.2046709,0.0068888175,0.2167287,-0.034953166,-0.026079288,0.1993711,-0.07792457,-0.11866485,0.114590526,0.012764134,0.018725155,-0.037821993,-0.016665157,0.046358705,0.09731382,0.04752576,0.01905761,0.0071745855,0.21701448,0.013357043,0.11491451,-0.059918642,0.0015157658,0.03461069,0.073289804,-0.16049536,0.010897192,0.032066472,0.060195457,0.008804449,0.14195935,0.14953807,0.048677783,-0.00396983,0.0014584677,-0.05077732,-0.03867394,-0.14100651,-0.030965408,-0.05750134,0.18592453,0.05095639,0.021517256,0.12976265,-0.06397245,-0.034160625,0.10092756,0.202003,-0.017466167,0.01476436,0.19923006,-0.022695221,0.076291874,0.15731558,-0.0042084674,-0.07323502,-0.19884662,-0.07490096,0.2045188,-0.09729771,-0.27194703,-0.21263161,0.058196846,0.010201895,-0.2504457,0.04016545,0.062335905,0.048003003,0.10594663,0.042772036,-0.022771839,-0.14892542,-0.01689928,-0.18171072,0.018540261,-0.013205672,-0.010884866,-0.052449066,0.0013365108,0.028728783,-0.025682647,0.12856156,0.0076088333,0.060991537,-0.05019712,0.020339755,0.04021485,-0.06024423,-0.049211547,-0.02330737,-0.06390766,0.038723964
6,-0.087479465,-0.060917154,0.17188235,-0.04655469,-0.048339777,-0.16305019,-0.011446076,0.048312806,-0.0018334105,0.041317217,0.34836918,0.036786806,-0.08682033,-0.040246703,-0.17664053,-0.08210754,-0.019869901,0.107000664,-0.05808987,0.04938657,0.12905775,0.020953724,0.099996306,-0.033582963,-0.09556955,0.10242351,-0.20661567,0.008483755,-0.061521288,-0.05948852,-0.18186957,0.017806066,-0.092203364,0.033224642,0.102186345,0.07253744,0.24848504,0.014376488,0.23776692,-0.06554031,-0.018311055,0.20849594,-0.08352243,-0.13862242,0.10938241,0.009511354,0.00043042778,-0.05381138,-0.016887074,0.027560726,0.09972737,0.0070061055,0.003980056,0.03991449,0.24058735,-0.007751499,0.1262593,-0.11811341,-0.018668216,0.021947812,0.09825045,-0.17097512,0.010909853,0.018723045,0.03602075,0.0090932045,0.13187604,0.16330405,0.03596308,-0.013654895,0.022936579,-0.027029486,-0.04549437,-0.13293351,-0.05749678,-0.017097622,0.17685232,0.06308278,0.00074675324,0.11755055,-0.08105257,-0.007530339,0.091505215,0.17639652,-0.028865252,0.0036179712,0.21295269,-0.050090298,0.083681695,0.19174738,-0.019198924,-0.078729294,-0.20715982,-0.09875445,0.24176969,-0.09875404,-0.2852782,-0.20887823,0.06549935,0.043581497,-0.23459902,0.06556637,0.0720695,0.03183098,0.117785096,0.039377168,-0.022034619,-0.121685624,-0.022568466,-0.1977874,0.024870774,-0.026165592,-0.024355484,-0.049214974,0.032722704,0.06000013,-0.011651599,0.1565288,0.016118603,0.053818393,-0.037829634,0.020101642,0.020870749,-0.058076818,-0.039884813,-0.056802522,-0.10255104,0.049262848
