Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
2,-0.06535423,-0.032134935,0.100618824,-0.07046815,-0.08391711,-0.095029436,-0.03634845,-0.0036810455,-0.07455125,0.023159131,0.3062408,0.018565493,-0.14947487,-0.01212091,-0.06987484,-0.08193977,-0.02678727,0.12204796,-0.06712141,0.106358156,0.062973596,-0.00054400036,0.07414163,0.034754306,-0.113655254,0.12957992,-0.23845948,-0.11199203,-0.056137465,-0.054913267,-0.26693895,0.063249186,-0.058898654,-0.034808137,0.13959618,0.084183216,0.30069718,0.1021417,0.17243476,-0.08678111,-0.0049515762,0.22241306,-0.04550754,-0.08361988,0.11391561,-0.011613956,-0.09698826,-0.12815379,0.014263594,0.056237087,0.17790557,0.0006535014,0.10420262,0.0344025,0.21343887,0.09553116,0.119975284,-0.09779757,-0.006804948,0.0074315337,0.04272826,-0.15147336,0.0079059815,0.046884622,-0.036847804,0.045213114,0.18634999,0.10339458,0.004199651,-0.063732766,0.037826482,-0.018439842,-0.032818004,-0.11598707,-0.092982516,0.10148001,0.14577131,0.08451986,-0.028170126,0.12772125,-0.03151771,0.0009376669,0.12316758,0.1336442,-0.0669052,-0.07427831,0.21953702,0.0038683424,0.088401936,0.16721754,-0.075289674,-0.068478726,-0.23166664,-0.12839246,0.26677063,-0.030006384,-0.3082979,-0.10161923,0.1209434,-0.053505987,-0.1668805,0.037180334,0.09842448,0.054925133,0.19174533,0.072675146,0.09999541,-0.09278468,-0.073275514,-0.24715512,0.10831687,0.055357005,-0.015244343,-0.08153008,0.044756003,-0.004988968,-0.043865763,0.10617643,0.056387685,0.2278026,0.0735766,0.010292594,0.00064793194,-0.08392064,0.01983455,-0.08903349,-0.12214902,0.05208842
9,-0.06189709,-0.02286141,0.09824193,-0.07947899,-0.07015281,-0.094353944,-0.035491265,2.5937596e-05,-0.055418562,0.030572888,0.28170243,0.03627779,-0.1214281,-0.02513159,-0.06837302,-0.074308634,-0.030890187,0.1195468,-0.048693825,0.1006402,0.056704994,-0.008452055,0.070931256,0.01875507,-0.10256122,0.12182833,-0.21263395,-0.09157458,-0.027783837,-0.041623816,-0.2353937,0.06379916,-0.0667126,-0.023478793,0.120992616,0.07504244,0.2635451,0.098116316,0.1627268,-0.07739619,0.011644023,0.20615892,-0.040799245,-0.08192031,0.10816689,-0.0016347375,-0.08198926,-0.12779541,0.005372657,0.039536033,0.17050746,-0.0049608503,0.086102106,0.035322323,0.19029728,0.08570578,0.10367104,-0.085225806,0.00017521938,-0.010266304,0.044209864,-0.13893524,0.007948377,0.04672219,-0.028447432,0.032613534,0.16848189,0.095026426,0.012181956,-0.061510015,0.018922087,-0.023570381,-0.027206918,-0.099201344,-0.09176501,0.086258635,0.13022624,0.08081273,-0.019922659,0.12534982,-0.038062114,-0.0015539379,0.1037067,0.11689009,-0.043203194,-0.06679012,0.19900124,-0.0015494243,0.09014239,0.15102823,-0.07682534,-0.065281615,-0.21257207,-0.115382805,0.22303647,-0.04078493,-0.25907323,-0.095422566,0.119833365,-0.047940176,-0.15738334,0.04173614,0.09130274,0.035236817,0.15723959,0.06764376,0.080450706,-0.097767316,-0.064730264,-0.21286806,0.098385155,0.054893043,-0.018418027,-0.076392554,0.039663307,-0.0059999335,-0.038414776,0.09408938,0.05723366,0.19749223,0.052097384,0.01048167,-0.0030315444,-0.07205532,-0.0033552744,-0.090442024,-0.1128853,0.029680233
11,-0.06393196,-0.031115942,0.08853094,-0.08108571,-0.07021185,-0.09783653,-0.032062344,0.0017848343,-0.06716932,0.03450034,0.2875491,0.037509114,-0.13252957,-0.016215304,-0.059074212,-0.072642885,-0.026604436,0.119613774,-0.057081122,0.1078705,0.06376283,-0.007891886,0.063683376,0.02627597,-0.10106304,0.11347412,-0.22167668,-0.09871909,-0.032015227,-0.05075061,-0.24410538,0.054337826,-0.053039774,-0.028714707,0.122824684,0.08473826,0.2714115,0.091416664,0.1649337,-0.07106371,0.010758475,0.20740463,-0.034722358,-0.082077466,0.10014639,0.0005376908,-0.086037815,-0.12601948,0.017148346,0.040761195,0.17305271,0.004131778,0.09837107,0.025772022,0.19692488,0.09704682,0.106836654,-0.089978404,0.0073293177,-0.0026441799,0.049029995,-0.14012815,-0.001586883,0.05347979,-0.029320952,0.036509126,0.18085527,0.1022718,0.0031262822,-0.059480198,0.030522654,-0.023549477,-0.02650235,-0.10546905,-0.087217726,0.08489478,0.122893296,0.075911365,-0.012508947,0.13299744,-0.026355196,-0.012016145,0.10376927,0.13144471,-0.047491502,-0.06446043,0.20258997,-0.00078235636,0.09420622,0.14839569,-0.07034614,-0.06316149,-0.21253999,-0.11381281,0.23241696,-0.03474489,-0.2761767,-0.10290592,0.113052376,-0.053309478,-0.15620069,0.048273247,0.09429157,0.037540674,0.16489288,0.07406968,0.0948428,-0.1001622,-0.062825754,-0.22250515,0.10112359,0.062414527,-0.017970413,-0.08336323,0.044295397,-0.015156855,-0.04302202,0.09985547,0.055596143,0.20083603,0.050905716,0.015123864,-0.006621138,-0.07219872,-0.0037007215,-0.08133381,-0.10657933,0.033827927
7,-0.059197906,-0.030733071,0.100256294,-0.07192805,-0.07296985,-0.10077211,-0.045939278,-0.000511306,-0.060054857,0.022120668,0.2844376,0.027871985,-0.12331751,-0.024235426,-0.06375254,-0.077829786,-0.037185658,0.115459934,-0.060920514,0.10118823,0.06339761,-0.0039790976,0.06755408,0.027441822,-0.10646732,0.12671445,-0.21893848,-0.09368287,-0.041240674,-0.043319743,-0.2412545,0.054229744,-0.060459245,-0.020495528,0.1290257,0.07384108,0.26546007,0.088005304,0.16488503,-0.06512177,0.0010556565,0.20359755,-0.035671342,-0.07169662,0.095351465,-0.006475983,-0.07577663,-0.12097366,0.012209945,0.032293044,0.17365816,-0.008796386,0.08935357,0.037912674,0.18808061,0.09307911,0.10735602,-0.09098331,-0.010523854,0.0029042135,0.047123984,-0.14385745,0.009101003,0.04410147,-0.02447038,0.033596326,0.1755219,0.097031705,0.016251532,-0.06290012,0.025607789,-0.032423355,-0.037381425,-0.10903925,-0.08799032,0.08173498,0.12865616,0.06970835,-0.015424133,0.123221,-0.035331182,-0.008150765,0.11647264,0.12677653,-0.054825395,-0.05920927,0.18899955,0.0074041192,0.08306985,0.14952195,-0.06869763,-0.054483898,-0.21078941,-0.10443833,0.23516986,-0.04260582,-0.27481225,-0.09902536,0.11666878,-0.05377814,-0.1613249,0.033042047,0.095686935,0.041067008,0.15381907,0.06552994,0.09033158,-0.10075343,-0.063083075,-0.22097406,0.099403344,0.047714587,-0.010840666,-0.07319819,0.044519037,-0.0074130623,-0.04943923,0.09405775,0.055956718,0.19051795,0.046664745,0.0077886544,-0.0003791984,-0.06852982,-0.002937815,-0.09134877,-0.11170809,0.033890225
8,-0.06310376,-0.037727334,0.085308485,-0.079741105,-0.07570498,-0.094353974,-0.038046103,-0.0014793803,-0.06765056,0.022491377,0.2720089,0.033741027,-0.12924792,-0.019874105,-0.054866217,-0.080105916,-0.026294805,0.11607332,-0.046392642,0.08764508,0.052033916,-0.015290216,0.06165322,0.034497954,-0.09101921,0.117249474,-0.19916767,-0.09772674,-0.024038227,-0.05131751,-0.23415665,0.053372327,-0.054425113,-0.029276114,0.118488014,0.08288188,0.2528524,0.088597395,0.152436,-0.07909766,0.012068464,0.20185173,-0.0444512,-0.06896072,0.108488746,-0.014334045,-0.08720661,-0.12512264,0.021434246,0.040023036,0.16766818,-0.009629788,0.091643535,0.03339988,0.18179974,0.08929262,0.09228285,-0.09044336,0.0006531115,0.003638247,0.048456956,-0.12527162,0.004491262,0.050993565,-0.0375628,0.040045053,0.16307588,0.0926698,0.015528278,-0.063419275,0.03280242,-0.0328901,-0.029549986,-0.10608923,-0.087228246,0.092412084,0.11784306,0.07422117,-0.0072890213,0.12621632,-0.038111314,-0.0091812825,0.114050835,0.12055348,-0.049900446,-0.07152916,0.18899271,-0.0050637783,0.090145096,0.13570888,-0.06906674,-0.055888396,-0.19939804,-0.10466203,0.22593796,-0.03003766,-0.2600057,-0.09014642,0.11338736,-0.046721913,-0.14747661,0.048082724,0.08006957,0.037451945,0.16480508,0.07344998,0.08586951,-0.09931875,-0.06250482,-0.20962957,0.10335545,0.053777713,-0.013579665,-0.070223205,0.037964955,-0.014697629,-0.03894326,0.086291485,0.05890946,0.2002867,0.053138796,0.012236837,-0.010214945,-0.068130925,-0.0024301545,-0.08847242,-0.10869589,0.026961746
5,-0.05364415,-0.033519633,0.09830112,-0.0769734,-0.06969699,-0.07726305,-0.04359822,-0.015554741,-0.07002402,0.020561261,0.27700663,0.011335106,-0.14213301,-0.014022057,-0.068516016,-0.08195537,-0.027256392,0.10522947,-0.06173309,0.09894988,0.055125244,-0.007694668,0.07060962,0.029956738,-0.11119034,0.12599093,-0.2259549,-0.11066837,-0.050962914,-0.05332529,-0.24406524,0.066339135,-0.06372007,-0.023636153,0.13732703,0.07409321,0.27859968,0.10508708,0.1557573,-0.0707543,0.009016015,0.19688368,-0.040054698,-0.07151601,0.10494321,-0.012292771,-0.0771163,-0.1304706,0.004235405,0.045963917,0.16550711,-4.1495514e-07,0.09579101,0.032141127,0.19349608,0.09103751,0.11360292,-0.08908305,-0.004374267,0.0022336629,0.04823978,-0.14568332,0.01906886,0.055053495,-0.03702039,0.040420417,0.17665477,0.08909773,-0.00015010554,-0.06639123,0.030379472,-0.02386095,-0.026440512,-0.10286676,-0.08808463,0.09564672,0.1325842,0.07552986,-0.029467342,0.114801385,-0.027500855,0.004876651,0.11172343,0.11214013,-0.061821707,-0.063185915,0.19612667,0.0126530845,0.07928412,0.15675999,-0.07773262,-0.06084835,-0.21611606,-0.12265899,0.23603378,-0.029049333,-0.28225514,-0.0891613,0.10528723,-0.050785165,-0.1419702,0.032578044,0.089632995,0.049857944,0.18016483,0.06603444,0.08677706,-0.09273815,-0.05904684,-0.22484,0.0911641,0.05667047,-0.0036286202,-0.08861047,0.036510874,-0.0012600647,-0.04837344,0.096532434,0.054213557,0.21514596,0.07349925,0.011096022,-0.008662708,-0.06572374,0.015509292,-0.078968965,-0.11496161,0.05422819
3,-0.05997718,-0.031494033,0.09283089,-0.0679989,-0.0631985,-0.07591548,-0.04140734,-0.014418575,-0.058870677,0.01951503,0.2771912,0.003747408,-0.14334486,-0.016146425,-0.071841285,-0.070700735,-0.02323843,0.10533832,-0.05374772,0.1172342,0.057268463,-0.0019223911,0.067389615,0.026482845,-0.122774065,0.12962984,-0.2261715,-0.111219,-0.057201717,-0.052520573,-0.23737426,0.058564182,-0.07498338,-0.017186413,0.13842013,0.084039465,0.28207815,0.10541055,0.16768323,-0.07890245,-0.0040524593,0.20130998,-0.030284327,-0.07909223,0.112899736,-0.011606372,-0.07235727,-0.12497722,-0.0032328921,0.045114826,0.16202722,-0.0030230675,0.10225596,0.0392385,0.20034787,0.08310988,0.113915816,-0.081193626,-0.007085561,-0.009120029,0.03993958,-0.15148081,0.021865198,0.045797884,-0.028928448,0.047836524,0.1735025,0.09356763,-0.00078308,-0.05437404,0.032931976,-0.02798693,-0.029605279,-0.09388438,-0.08952689,0.09432737,0.13132784,0.07735398,-0.031948805,0.123689346,-0.02822948,0.0020725322,0.10684175,0.11396334,-0.060559247,-0.07300696,0.2030092,0.011432074,0.08212114,0.15333626,-0.06673548,-0.072672136,-0.22575107,-0.12801237,0.24879034,-0.03224432,-0.28895465,-0.08549746,0.10461564,-0.05009521,-0.1512872,0.026744511,0.08097906,0.05259072,0.18086089,0.07521326,0.08502857,-0.090194814,-0.069354855,-0.23384555,0.08788428,0.056162704,-0.006900119,-0.0922726,0.04351253,-0.004983093,-0.040778257,0.09502763,0.053272225,0.20722358,0.0714911,0.018484572,-0.009038825,-0.06753792,0.022649983,-0.08395432,-0.09977545,0.05956672
1,-0.058562655,-0.022843525,0.10073671,-0.080948085,-0.07636216,-0.099682175,-0.047239356,0.005669258,-0.06279448,0.020475904,0.2831287,0.03187787,-0.13438478,-0.021574741,-0.063561045,-0.07763388,-0.033597004,0.1177359,-0.061808933,0.11371153,0.06457006,-0.015296632,0.07362868,0.021534607,-0.10766467,0.12830918,-0.2265872,-0.10214072,-0.03388433,-0.04956376,-0.2508633,0.066181086,-0.061972093,-0.029460019,0.13632424,0.08256462,0.27660707,0.10374633,0.15780194,-0.06925652,0.0027789208,0.21194218,-0.036646403,-0.07569468,0.10734699,-0.0021463572,-0.08522023,-0.12793948,0.010135776,0.043998014,0.16965465,0.0023729315,0.09879244,0.040743712,0.19651224,0.101406656,0.10996265,-0.08167964,-0.00022710029,-0.008214642,0.039327834,-0.14514594,0.010443197,0.045210805,-0.030522453,0.046198893,0.18627709,0.09574125,0.0034968876,-0.06420073,0.023415798,-0.033615857,-0.028725041,-0.10922007,-0.08722464,0.09282364,0.12762386,0.06994867,-0.0183982,0.12054376,-0.030285975,-0.009885357,0.117041074,0.124750614,-0.052162968,-0.06977803,0.19862844,0.010555382,0.08773541,0.14765061,-0.07813745,-0.06156814,-0.21116146,-0.111756906,0.23025551,-0.030736115,-0.2759203,-0.09135121,0.12486093,-0.06015524,-0.16796853,0.04203716,0.09979189,0.04569338,0.17236578,0.06892241,0.097347,-0.10639671,-0.07440573,-0.23064558,0.09678289,0.058988325,-0.018094154,-0.08614858,0.050845325,-0.012465963,-0.03891663,0.092338786,0.06063615,0.20834792,0.058345288,0.0069362945,0.0003178271,-0.079694875,0.0013479942,-0.0890962,-0.10553671,0.035197865
10,-0.064007014,-0.025215983,0.08782397,-0.07391713,-0.061377414,-0.07965777,-0.039666492,-0.0069392435,-0.052221768,0.030571438,0.27053288,0.026286762,-0.121820025,-0.02109556,-0.06600064,-0.07283168,-0.027424108,0.10801674,-0.054711226,0.10277562,0.045299064,-0.011823018,0.059574246,0.02546909,-0.10801583,0.11698793,-0.21018617,-0.098578855,-0.043995634,-0.043472454,-0.2239179,0.056887574,-0.06611946,-0.024594033,0.12803635,0.07812259,0.24740303,0.08976315,0.15484302,-0.071157746,-0.0006332078,0.19632734,-0.043148722,-0.07704621,0.10495573,-0.011153143,-0.07478964,-0.11358378,0.0054231477,0.047734242,0.16365115,0.0036245754,0.09457435,0.023605933,0.17830507,0.08927759,0.103751,-0.07470867,0.003026885,0.0046770875,0.034281783,-0.12928514,0.0065653133,0.050535794,-0.02548408,0.03875645,0.16786201,0.08960624,0.008566277,-0.054039825,0.021912001,-0.024870327,-0.020620465,-0.10052441,-0.08235374,0.079460636,0.13074817,0.080942355,-0.018864376,0.123753086,-0.03008218,-0.0066536292,0.10304987,0.11826542,-0.053817764,-0.06805361,0.19170845,0.006157539,0.0807345,0.13914429,-0.063501135,-0.064692564,-0.20696726,-0.11556858,0.21947709,-0.03989635,-0.262363,-0.09376758,0.10821548,-0.055404104,-0.1507651,0.02700221,0.07729398,0.04632191,0.16201814,0.06786459,0.07987842,-0.09567971,-0.05980541,-0.20839511,0.09464379,0.05383301,-0.009560302,-0.07527529,0.029282175,-0.013047078,-0.047964174,0.086796306,0.05415258,0.20135383,0.056085613,0.010913672,0.0017033677,-0.06563006,0.004465912,-0.07551164,-0.10239103,0.033605546
4,-0.0575131,-0.023082517,0.09084607,-0.073451765,-0.07449842,-0.07534688,-0.04149804,-0.019135702,-0.069497384,0.025695812,0.294487,0.010308405,-0.1497343,-0.011669797,-0.060044892,-0.07209385,-0.033284515,0.11982436,-0.0625455,0.12460039,0.053400893,0.0028157094,0.070075564,0.03725085,-0.12767902,0.138174,-0.242319,-0.12508394,-0.05774389,-0.042501293,-0.26503205,0.068446904,-0.06560232,-0.029633455,0.14054734,0.07754331,0.30379942,0.118705764,0.17143571,-0.08585495,-0.0035230806,0.2164357,-0.02920572,-0.08157403,0.10855276,-0.011564082,-0.09520395,-0.13987906,0.0030142737,0.04822274,0.19022867,-0.007495475,0.11280972,0.036719173,0.20442772,0.10385351,0.12425009,-0.09054389,-0.009568746,-0.008669492,0.033356495,-0.15598796,0.01252048,0.047114592,-0.036891315,0.043807156,0.18980111,0.091199934,-0.00017037113,-0.065576985,0.031169157,-0.014412743,-0.030608874,-0.09704579,-0.10324484,0.11092742,0.1405856,0.09248276,-0.040357415,0.13150184,-0.02566396,0.0062327837,0.1123953,0.11400885,-0.06803659,-0.08195272,0.21624275,0.014165496,0.08595853,0.16873819,-0.08202532,-0.07184101,-0.24368122,-0.13980584,0.26451483,-0.034182847,-0.303557,-0.08379754,0.124112144,-0.06614672,-0.15190995,0.022120941,0.097527556,0.050680965,0.1854971,0.077049725,0.10679882,-0.084831856,-0.07841146,-0.24688414,0.11309032,0.066285014,-0.011376309,-0.09005949,0.046415262,-0.009409171,-0.055186436,0.09913076,0.06157884,0.2392125,0.084388494,0.010563393,-0.0056467485,-0.076854154,0.02672388,-0.096103124,-0.123308115,0.05545081
